tracked_at,tripleg_id,user_id,longitude,latitude
2020-03-23 13:05:01+00:00,22,22,7.571296692000001,47.53789097
2020-03-23 13:05:08+00:00,22,22,7.571897507,47.53702179
2020-03-23 13:05:15+00:00,22,22,7.571940422000001,47.53631196
2020-03-23 13:05:22+00:00,22,22,7.5717473029999995,47.53573973
2020-03-23 13:05:29+00:00,22,22,7.57158637,47.53536308
2020-03-23 13:05:36+00:00,22,22,7.571178675,47.534732899999995
2020-03-23 13:05:43+00:00,22,22,7.570695877,47.53392886
2020-03-23 13:05:50+00:00,22,22,7.57029891,47.53326969
2020-03-23 13:05:57+00:00,22,22,7.569547892,47.53195132
2020-03-23 13:06:04+00:00,22,22,7.56919384,47.53111102
2020-03-23 13:06:11+00:00,22,22,7.569032907,47.53044457
2020-03-23 13:06:18+00:00,22,22,7.568678856,47.5294159
2020-03-23 13:06:25+00:00,22,22,7.568421364,47.52805397
2020-03-23 13:06:32+00:00,22,22,7.568228245,47.52686587
2020-03-23 13:06:39+00:00,22,22,7.567884922,47.52590957
2020-03-23 13:05:57+00:00,33,33,7.575137615,47.53776059
2020-03-23 13:06:04+00:00,33,33,7.575330734,47.53728255
2020-03-23 13:06:11+00:00,33,33,7.575502396,47.53673207
2020-03-23 13:06:18+00:00,33,33,7.575073242,47.53593531
2020-03-23 13:06:25+00:00,33,33,7.57481575,47.53518199
2020-03-23 13:06:32+00:00,33,33,7.574365139,47.53458803
2020-03-23 13:06:39+00:00,33,33,7.573978901,47.53367534
2020-03-23 13:06:46+00:00,33,33,7.57352829,47.53297994
2020-03-23 13:06:53+00:00,33,33,7.573442459,47.53228454
2020-03-23 13:07:00+00:00,33,33,7.573335171,47.53138629
2020-03-23 13:07:07+00:00,33,33,7.573292255,47.53057496
2020-03-23 13:07:14+00:00,33,33,7.573356627999999,47.52912613
2020-03-23 13:07:21+00:00,33,33,7.573378086,47.52809743
2020-03-23 13:07:28+00:00,33,33,7.573335171,47.52683689
2020-03-23 13:07:35+00:00,33,33,7.573120594,47.52605447
2020-03-23 13:07:42+00:00,33,33,7.572691441,47.52541693
