user_id;tracked_at;latitude;longitude;elevation;accuracy
1;2008-10-26T05:59:34Z;39.979984;116.324016;47;1
1;2008-10-26T05:59:36Z;39.979612;116.323642;14;1
1;2008-10-26T05:59:37Z;39.97965;116.323677;68;1
1;2008-10-26T05:59:38Z;39.979595;116.323514;13;1
1;2008-10-26T05:59:39Z;39.979639;116.323502;91;1
1;2008-10-26T05:59:43Z;39.979689;116.323598;83;1
1;2008-10-26T05:59:44Z;39.97971;116.323679;76;1
1;2008-10-26T05:59:49Z;39.979736;116.323762;83;1
1;2008-10-26T05:59:52Z;39.979774;116.323797;81;1
1;2008-10-26T05:59:56Z;39.979768;116.32374;77;1
1;2008-10-26T06:00:00Z;39.979762;116.323669;70;1
1;2008-10-26T06:00:02Z;39.979748;116.323601;71;1
1;2008-10-26T06:00:04Z;39.979741;116.32353;71;1
1;2008-10-26T06:00:06Z;39.979741;116.323442;71;1
1;2008-10-26T06:00:08Z;39.979744;116.323367;66;1
1;2008-10-26T06:00:10Z;39.97975;116.323286;64;1
1;2008-10-26T06:00:12Z;39.979747;116.323215;65;1
1;2008-10-26T06:00:14Z;39.979746;116.32315;63;1
1;2008-10-26T06:00:16Z;39.979743;116.323059;65;1
1;2008-10-26T06:00:18Z;39.97974;116.322986;60;1
1;2008-10-26T06:00:20Z;39.979747;116.322908;58;1
1;2008-10-26T06:00:22Z;39.979751;116.322833;56;1
1;2008-10-26T06:00:24Z;39.979733;116.32273;61;1
1;2008-10-26T06:00:26Z;39.979733;116.322644;62;1
1;2008-10-26T06:00:28Z;39.979727;116.32255;62;1
1;2008-10-26T06:00:30Z;39.979722;116.32247;60;1
1;2008-10-26T06:00:32Z;39.979719;116.322386;57;1
1;2008-10-26T06:00:34Z;39.979734;116.32231;51;1
1;2008-10-26T06:00:36Z;39.979748;116.322227;49;1
1;2008-10-26T06:00:38Z;39.979758;116.322149;48;1
1;2008-10-26T06:00:40Z;39.979776;116.322082;46;1
1;2008-10-26T06:00:42Z;39.979797;116.322003;47;1
1;2008-10-26T06:00:44Z;39.979782;116.321902;50;1
1;2008-10-26T06:00:45Z;39.979756;116.321854;52;1
1;2008-10-26T06:00:47Z;39.979736;116.321784;43;1
1;2008-10-26T06:00:49Z;39.979745;116.321726;43;1
1;2008-10-26T06:00:53Z;39.979788;116.321669;44;1
1;2008-10-26T06:00:56Z;39.979847;116.32163;49;1
1;2008-10-26T06:00:58Z;39.979906;116.321592;55;1
1;2008-10-26T06:01:00Z;39.979967;116.321586;51;1
1;2008-10-26T06:01:02Z;39.980034;116.321584;48;1
1;2008-10-26T06:01:04Z;39.980096;116.321584;51;1
1;2008-10-26T06:01:06Z;39.980151;116.321592;54;1
1;2008-10-26T06:01:08Z;39.980208;116.321614;53;1
1;2008-10-26T06:01:10Z;39.980263;116.321622;55;1
1;2008-10-26T06:01:12Z;39.980329;116.321624;48;1
1;2008-10-26T06:01:14Z;39.980385;116.321623;46;1
1;2008-10-26T06:01:16Z;39.980449;116.321605;47;1
1;2008-10-26T06:01:18Z;39.980507;116.321612;47;1
1;2008-10-26T06:01:20Z;39.980557;116.321613;48;1
1;2008-10-26T06:01:22Z;39.980612;116.32162;47;1
1;2008-10-26T06:01:24Z;39.98067;116.321616;45;1
1;2008-10-26T06:01:25Z;39.980722;116.321614;46;1
1;2008-10-26T06:01:27Z;39.980783;116.321601;44;1
1;2008-10-26T06:01:29Z;39.980838;116.321581;47;1
1;2008-10-26T06:01:32Z;39.9809;116.321578;45;1
1;2008-10-26T06:01:35Z;39.980946;116.321577;42;1
1;2008-10-26T06:01:40Z;39.980968;116.321556;36;1
1;2008-10-26T06:01:45Z;39.98096;116.321556;35;1
1;2008-10-26T06:01:48Z;39.98096;116.321556;35;1
1;2008-10-26T06:01:50Z;39.980963;116.321556;35;1
1;2008-10-26T06:01:55Z;39.980973;116.321555;34;1
1;2008-10-26T06:02:00Z;39.980989;116.321546;36;1
1;2008-10-26T06:02:05Z;39.981003;116.321545;36;1
1;2008-10-26T06:02:10Z;39.981016;116.321548;34;1
1;2008-10-26T06:02:15Z;39.981036;116.321549;31;1
1;2008-10-26T06:02:20Z;39.981052;116.321555;29;1
1;2008-10-26T06:02:25Z;39.981065;116.32155;27;1
1;2008-10-26T06:02:30Z;39.981068;116.321507;28;1
1;2008-10-26T06:02:32Z;39.980998;116.321351;35;1
1;2008-10-26T06:02:33Z;39.980982;116.32129;36;1
1;2008-10-26T06:02:35Z;39.980986;116.321217;44;1
1;2008-10-26T06:02:40Z;39.981029;116.321195;56;1
1;2008-10-26T06:02:45Z;39.981054;116.321202;68;1
1;2008-10-26T06:02:50Z;39.981064;116.321188;75;1
1;2008-10-26T06:02:55Z;39.981074;116.321188;83;1
1;2008-10-26T06:03:00Z;39.981084;116.32119;90;1
1;2008-10-26T06:03:02Z;39.981153;116.321193;97;1
1;2008-10-26T06:03:07Z;39.981135;116.321207;10;1
1;2008-10-26T06:03:12Z;39.981168;116.321205;12;1
1;2008-10-26T06:03:16Z;39.981128;116.321194;14;1
1;2008-10-26T06:03:21Z;39.981118;116.321189;14;1
1;2008-10-26T06:03:26Z;39.981092;116.32124;13;1
1;2008-10-26T06:03:31Z;39.981045;116.321254;13;1
1;2008-10-26T06:03:35Z;39.981056;116.321191;13;1
1;2008-10-26T06:03:38Z;39.981084;116.321131;13;1
1;2008-10-26T06:03:42Z;39.981076;116.321061;13;1
1;2008-10-26T06:03:45Z;39.981103;116.321012;13;1
1;2008-10-26T06:03:50Z;39.981129;116.320984;13;1
1;2008-10-26T06:03:55Z;39.981151;116.320976;13;1
1;2008-10-26T06:03:58Z;39.981151;116.320976;13;1
1;2008-10-26T06:04:00Z;39.981155;116.320975;13;1
1;2008-10-26T06:04:02Z;39.981214;116.320947;13;1
1;2008-10-26T06:04:05Z;39.981264;116.320934;13;1
1;2008-10-26T06:04:10Z;39.981269;116.320934;13;1
1;2008-10-26T06:04:13Z;39.981269;116.320934;13;1
1;2008-10-26T06:04:15Z;39.981267;116.320935;13;1
1;2008-10-26T06:04:19Z;39.981346;116.320949;13;1
1;2008-10-26T06:04:20Z;39.981414;116.320965;13;1
1;2008-10-26T06:04:21Z;39.981467;116.320956;13;1
1;2008-10-26T06:04:24Z;39.981529;116.320959;13;1
1;2008-10-26T06:04:25Z;39.981578;116.320976;13;1
1;2008-10-26T06:04:28Z;39.981642;116.32099;13;1
1;2008-10-26T06:04:30Z;39.981687;116.321028;13;1
1;2008-10-26T06:04:34Z;39.981764;116.321058;13;1
1;2008-10-26T06:04:36Z;39.981837;116.321108;13;1
1;2008-10-26T06:04:41Z;39.981881;116.321114;13;1
1;2008-10-26T06:04:46Z;39.98188;116.321116;13;1
1;2008-10-26T06:04:51Z;39.981888;116.321116;14;1
1;2008-10-26T06:04:56Z;39.98189;116.321116;14;1
1;2008-10-26T06:05:01Z;39.981892;116.321115;14;1
1;2008-10-26T06:05:04Z;39.981892;116.321115;14;1
1;2008-10-26T06:05:06Z;39.981899;116.321114;14;1
1;2008-10-26T06:05:08Z;39.981923;116.321049;13;1
1;2008-10-26T06:05:10Z;39.981944;116.320961;13;1
1;2008-10-26T06:05:13Z;39.98199;116.320924;13;1
1;2008-10-26T06:05:18Z;39.98204;116.320906;13;1
1;2008-10-26T06:05:23Z;39.982067;116.320897;13;1
1;2008-10-26T06:05:27Z;39.982118;116.320888;12;1
1;2008-10-26T06:05:30Z;39.982118;116.320888;12;1
1;2008-10-26T06:05:32Z;39.982123;116.320881;12;1
1;2008-10-26T06:40:22Z;39.981789;116.320567;87;1
1;2008-10-26T06:40:23Z;39.98183;116.320579;77;1
1;2008-10-26T06:40:25Z;39.981928;116.3206;58;1
1;2008-10-26T06:40:26Z;39.981991;116.320608;45;1
1;2008-10-26T06:40:28Z;39.982147;116.320643;1;1
1;2008-10-26T06:40:33Z;39.982178;116.320627;-4;1
1;2008-10-26T06:40:38Z;39.98219;116.320631;-6;1
1;2008-10-26T06:40:41Z;39.982095;116.320749;8;1
1;2008-10-26T06:40:46Z;39.982135;116.320771;-3;1
1;2008-10-26T06:40:48Z;39.98216;116.320811;-1;1
1;2008-10-26T06:40:51Z;39.982277;116.320874;-3;1
1;2008-10-26T06:40:56Z;39.982288;116.320939;-4;1
1;2008-10-26T06:40:59Z;39.982261;116.320994;-5;1
1;2008-10-26T06:41:03Z;39.982273;116.321052;-6;1
1;2008-10-26T06:41:07Z;39.982279;116.321116;-6;1
1;2008-10-26T06:41:11Z;39.982277;116.321178;-7;1
1;2008-10-26T06:41:16Z;39.982295;116.321244;-7;1
1;2008-10-26T06:41:20Z;39.982249;116.321278;-7;1
1;2008-10-26T06:41:24Z;39.982199;116.321294;-6;1
1;2008-10-26T06:41:27Z;39.982154;116.321313;-6;1
1;2008-10-26T06:41:31Z;39.982102;116.32131;-6;1
1;2008-10-26T06:41:35Z;39.98212;116.321252;-5;1
1;2008-10-26T06:41:40Z;39.982101;116.32123;-5;1
1;2008-10-26T06:41:44Z;39.982125;116.321199;-6;1
1;2008-10-26T06:41:47Z;39.982035;116.321162;-6;1
1;2008-10-26T06:41:49Z;39.981927;116.321143;-5;1
1;2008-10-26T06:41:54Z;39.981893;116.321141;-4;1
1;2008-10-26T06:41:57Z;39.981893;116.321141;-4;1
1;2008-10-26T06:41:59Z;39.981894;116.321141;-4;1
1;2008-10-26T06:42:04Z;39.981876;116.321145;-4;1
1;2008-10-26T06:42:09Z;39.981858;116.321175;-4;1
